"","logFC","p.value","FDR"
"ARRB2",-0.0693138591251802,9.49716435701467e-06,0.000200644317401718
"AGMAT",0.0717742082835455,2.9176500886935e-05,0.000551025508282264
"LSMEM1",-0.0510909987604996,5.47178325823767e-25,1.26271921343946e-22
"ABCA9",-0.0655450038145176,1.54378324619727e-26,9.2626994771836e-24
"CAPN8",-0.0850378980783764,0.000476149796664603,0.00640560264571215
"BAX",-0.0624289031758683,0.00132355124415008,0.0147607945444247
"SLC2A4",-0.0704491402281641,1.77233482600031e-24,3.79786034142924e-22
"DPYSL3",-0.114739146313973,8.94249881004605e-05,0.00148218212321205
"RPL7A",0.0531303849235923,0.0012518578630778,0.014171975808428
"YBX3",0.0515273270666568,0.00519309616474311,0.0453096637579563
"GEM",0.083636567243157,0.000511133321562246,0.00681511095416328
