"","logFC","p.value","FDR"
"SCGB3A1",0.129401692775576,4.49611159840349e-13,1.34883347952105e-10
"PIGR",0.0641884788402008,5.42940142028722e-10,6.26469394648525e-08
"AZGP1",0.0946004347786763,0.000127361823150803,0.00183694937236735
"ASCL3",-0.143161179020774,0.00114799595944002,0.0103734574648194
"CLCNKB",-0.119060589956758,0.000490574724907556,0.00555367613102893
"FOS",0.0528364261641597,0.00162298103112389,0.0137540765349482
"KRT7",-0.0776008281967813,0.000648679021126752,0.00697504323792207
"STAP1",-0.130600820755286,0.00642525019766121,0.0410122353042205
"ID3",-0.0584608821267015,0.00734382622233286,0.0455659778883461
"UCP2",0.0527282718004018,1.088603947966e-05,0.000259191416182381
"CEL",-0.100689559108543,0.00213540137812047,0.0174081634085908
"MT1G",0.052374470991882,1.68512687399947e-09,1.44967719126826e-07
"CEP126",0.0602708819821655,5.80873782721795e-05,0.000968122971202992
"TMEM176A",0.0601643980294841,3.27809697073062e-08,1.96685818243837e-06
"CD9",-0.109837324230025,1.5176586494923e-15,1.5176586494923e-12
"PRDX5",-0.0528558739623531,1.51854484846881e-06,5.00619180813894e-05
"MAN1C1",-0.0739132245786103,0.00206768169795588,0.0169874635306552
"SEMA3C",0.0605294731610876,0.00360740585516051,0.0258904726446927
"CIB1",-0.0636418750036802,0.000104826121737323,0.00154915450843335
"STAC2",0.0987167874404501,0.00316477195705288,0.0234444306996858
"HS3ST6",0.0552440745640596,0.00286176888704196,0.0217901184292535
"DUSP5",0.0542185223079893,5.51403104535294e-07,2.04223372050109e-05
"RAB3B",0.057820023440761,4.70708296649966e-07,1.85805906572355e-05
"FOXA2",0.0590796399054749,9.47685322582398e-08,4.81873892838507e-06
"ATP6V1B1",-0.0772692282222052,0.000982331280649843,0.00923822520987313
"B2M",-0.0821653313782044,5.64673695532619e-05,0.000951697239661717
"IDI1",-0.0605446520975083,0.000660720789248602,0.00707915131337788
"LFNG",0.0654975459280373,1.12468505385948e-12,2.59542704736803e-10
"KRT8",-0.0778020835839675,9.11926381123853e-06,0.000225794978470689
"CALM2",-0.0617064559839878,1.60902873823795e-07,7.5423222104904e-06
"TXN",-0.0631374765446485,1.58723442355118e-08,1.05815628236745e-06
"ARL6IP5",-0.0750533137648069,0.0010145703472929,0.00948196586255047
"EPCAM",-0.0694402576445742,1.29073190011776e-06,4.30243966705921e-05
"SLC25A5",-0.0898336045424319,1.89391835486035e-06,6.1094140479366e-05
"AKR1B1",-0.113476572607647,4.15185666378137e-07,1.66074266551255e-05
"CLIC6",0.0622608183840618,3.83629788125725e-12,6.39382980209541e-10
"ATP1A1",-0.0529180067595445,0.00195385804928411,0.0161475871841662
"ATP6V1C2",-0.0691746754017445,0.000281675982595637,0.00352094978244546
"ATP6V1A",-0.0548199015300633,0.00262497984088037,0.0202440604695145
"ID4",-0.0678799171328313,0.00227035915168332,0.0182114370455881
"PLK2",0.0546479936959297,0.000384437011291508,0.00452278836813539
"SLC20A1",-0.0530182298662018,0.000273048807384932,0.00344179168972603
"SLC12A2",-0.0894880494423087,0.00418097044256923,0.0294434538209101
"MAPK10",0.0553460898315123,2.28623411356965e-08,1.39973517157326e-06
"PLCL1",-0.0959318639204154,0.000758860240849366,0.00770652801511432
"PEG10",0.0782929530883313,3.26281884235332e-40,9.78845652705996e-37
"ENC1",0.079658884517487,2.08673558023871e-05,0.000447157624336867
"UBB",-0.0801146284641045,8.21362002454748e-11,1.14406919100286e-08
"CBFA2T3",0.0524449854568,4.92933034136675e-08,2.6887256407455e-06
"SLFN5",0.0501579749078121,0.00241129689996702,0.0190867828493432
"BMP7",0.0504652416387938,5.68238110039186e-13,1.54974030010687e-10
"HLA-B",-0.084496537829297,0.00132101605451528,0.0116831980176904
"IQGAP2",-0.119901950941265,6.65419126249084e-05,0.00106183903124854
"MIR222HG",0.0504308521561371,5.66304893799108e-06,0.000158777073027787
"PPIA",-0.0589513545221978,0.000128786743955258,0.00184659019700527
"ATP6V0B",-0.162579224400951,2.42839002930534e-12,4.55323130494751e-10
"NKX3-1",0.0740869927334962,2.61489986789211e-35,3.92234980183816e-32
"AGMAT",0.0549870972245374,1.54652641663903e-05,0.000343672537030895
"TEAD2",0.0545807149827592,0.00299688127692719,0.0225329419317834
"NR2F2",0.0531859410553222,0.000126004830076196,0.00182615695762603
